,precision,recall,f1-score,support
freshapples,0.9952380952380953,1.0,0.9976133651551312,209.0
freshlemons,0.9576271186440678,1.0,0.9783549783549783,113.0
freshoranges,0.9945652173913043,1.0,0.997275204359673,183.0
rottenapples,1.0,0.9897959183673469,0.9948717948717949,294.0
rottenlemons,1.0,0.9473684210526315,0.972972972972973,95.0
rottenoranges,0.9900497512437811,0.995,0.9925187032418953,200.0
accuracy,0.9917733089579525,0.9917733089579525,0.9917733089579525,0.9917733089579525
macro avg,0.9895800304195413,0.9886940565699964,0.9889345031594076,1094.0
weighted avg,0.9919853851397682,0.9917733089579525,0.991759734042481,1094.0
